,tokenized
154215,"['가격', '대비', '맛', '좋습니다', '조리법', '레시피', '대로', '하면', '매우', '편리합니다', '접시', '놓으면', '요리', '먹는', '기분', '입니다다만', '여름', '이라', '그런', '지보', '냉', '제', '가모', '두', '녹아서', '왔습니다', '이런', '부분', '개선', '필요하네요']"
134904,"['굳이', '살', '필요없는', '쓰레기통', '인거', '같습니다', '자리', '차지', '만', '많', '이합', '니']"
95317,"['재구매', '따뜻하게잘', '마셨어요']"
76094,"['거실', '샷시', '가운데', '공', '틀', '활용', '여', '부착', '후빛', '조절', '되고', '사생활', '보호', '하니', '좋네요', '생각', '보다', '빨리', '배달', '되어', '후', '닥', '설치', '하고', '보니', '좋네요', '사이즈', '주문', '원하는데로', '할수있어', '좋았어요']"
105728,"['재구매', '매번', '시키는데', '믿을수있습니다']"
5601,"['분사', '할', '때', '구멍', '이상한지', '뿌리', '기', '너무', '힘들어요', 'ㅠㅠ', '얼굴', '돌려가며', '팔', '돌려가며', '뿌려요', 'ㅠㅠ', '불량', '인지', '원래', '그런건', '지그', '냥', '쓰는', '중이', '에요', '트러블', '진정', '되는것도', '잘', '모르겠지만', '꾸준히', '써', '볼께요']"
63037,"['재구매', '두번째', '구입', '배송', '빠르고', '만족합니다']"
17947,"['가성', '비', '배송비', '랑', '합치', '면', '만원', '넘다', '보니', '순수', '원목', '제품', '아니라서', '가성', '비', '살짝', '아쉽지만', '나름', '잘쓸수있을거', '같습니다']"
25463,"['배송', '느리네요', '빠른', '배송', '해주세요']"
155873,"['없는것도', '있고', '불필요한게', '너무', '많네요']"
97948,"['고추', '무침은', '절', '대비', '추물', '렁', '거리', '짜고', '먹기', '힘드네요']"
180502,"['집', '에서', '갈아', '먹다가', '제주', '문해', '먹어요', '집', '에서', '요구르트', '만', '섞으니', '집', '에서', '해먹', '던맛', '이네', '요']"
34430,"['아는', '분통', '해서', '항상', '사먹었는데', '이전', '먹어', '왔던', '보리', '굴비', '아니예요', 'ㅠㅜ', '신선', '식품', '이라', '환불', '어려우니', '참']"
15835,"['배송', '좋았습니다', '작년', '구입', '감은', '익어도', '맛', '좋았는데', '이번', '감은', '껍질', '두껍다고', '해야하나', '개인', '적', '인거', '지만', '별로', '달지도', '않는것', '같아요']"
71628,"['사면', '안되요', '고장', '이틀', '만에', '고장']"
91403,"['만족합니다', '정말', '감사합니다', '덕분', '저', '이렇게', '잘', '어울리는', '예쁜아', '이입', '니']"
28896,"['목요일', '날', '주문', '하여', '출발', '한지', '몇', '일', '지나', '월요일', '날', '받앗습니다', '강남', '에서', '보내는거', '고전', '송파', '인데', '지방', '에서', '오는것보단', '거', '늦게와', '야', '될까', '요', '이해', '안되요', '정말', '너무', '화가', '장', '난', '아니', '엇겟', '죠']"
96712,"['이뻐', '요조', '아', '여', '그래여']"
30733,"['튼튼하고', '좋네요', '설명', '서', '친절해서', '조립', '쉬웠습니다', '부품', '도딱', '딱', '맞게잘', '만들었네요']"
183899,"['불만족', '스런', '구매']"
30901,"['제품', '상태', '설명', '에서', '기대할수있을만큼', '제', '단', '상태', '나', '여러', '모로', '홀', '카펫', '으로', '사용', '하기는', '부족합니다', '필요', '수치보', '다크', '구매', '해서', '비', '틀러진', '가장자리', '나', '비스듬히', '잘려서', '오는', '부', '분', '제거', '해야', '함']"
134649,"['흡착', '어려워요', 'ㅠㅠ']"
120966,"['이모', '님', '꺼', '착용', '했어요', '드레스', '위로', '브라', '가보', '여서']"
85891,"['수납', '공간활용', '업네요', '반품', '비', '가더', '들어서', '반품', '못', '겟', '요']"
4120,"['너무', '커요', 'ㅠㅠ', '진짜', '두', '사이즈', '다운', '하셔도', '될', '긋']"
53714,"['실시간', '으로', '받아', '볼수있는게', '아니어서', '아쉽네요', '거의', '시간', '만에', '왔습니다']"
167928,"['깔끔하고', '정리', '잘', '됐어요', '사용', '할전기', '제품', '소비전력', '따져', '보니', '굳이', '전력', '으로', '안', '사도', '되길래', '일반', '스위치', '로', '주문', '했어요', '스위치', '편하고', '좋아요']"
83627,"['별로', '요']"
167590,"['디자인', '깔끔하고', '가볍네요', '배송', '빨랐어요']"
91652,"['사이즈', '크네요']"
152704,"['유투브', '영', '상보', '구매', '했는데', '영상', '다른', '모양', '으로', '왔어요', '끄트머리', '와서', '초보자', '저', '손질', '기도', '불편했고안에', '뼈', '생각', '보다', '많아서', '덜어내니', '남는게', '많이', '없어서', '놀랬네요', '미리', '말해줫음']"
185225,"['흑', '가안', '왔어요']"
111699,"['잘', '받았습니다', '만족스럽습니다']"
91457,"['굿', '좋아요', '들은데', '로', '좋아요']"
3185,"['튼튼해요', '감사합니다']"
139884,"['원래', '로라', '메르', '시', '에쓰', '다가', '한번', '써', '봤는데', '저', '랑', '안', '맞네요', '쌍', '커플', '라인', '섀도우', '끼', '요전', '다시', '로라', '로', '돌아갑니다', 'ㅎㅎ']"
81349,"['아기', '태어나면', '쓰려고', '아끼는', '중', 'ㅎ']"
112792,"['아직', '캠핑장', '에서는', '사용', '안', '했지만', '참하네요']"
182757,"['뚜껑', '희한하네여', '잘맞지도', '않고', '뚜껑', '피스', '개', '만', '꽂혀있고', '어떻게', '고정', '라는', '건지', '욕', '차오르지만', '참는다', '휴']"
124798,"['반', '이상', '많이', '찌그러져', '핬', '어', '요', '양도', '많은데', '찝찝하네요', '귀찮아서', '반품', '안하지만', '여태', '참치', '인터넷', '구매', '면서', '이리', '구겨져오는것은', '처음', '이네', '요']"
88839,"['택배', '불만', '이네', '요']"
12617,"['만족해서', '재구매', '했', '습', '니당']"
56530,"['좋아요', '물을잘', '챙겨', '먹지', '않는', '편', '인데', '이렇게', '차', '타서', '먹으면잘', '먹는', '편이', '라', '요새', '물을전보다', '자주', '마시게', '되었습니다', '피부', '다이어트', '에도', '좋다니', '더', '만족스러워요']"
53696,"['브이', '넥', '많이', '안', '파여', '잇어서', '입기', '좋음']"
81588,"['색상', '맘', '들고', '퍼즐', '색상', '과도', '잘', '어울리네요']"
60906,"['과일', '담궈놨더니', '때', '꾸', '정물', '나왔어요']"
94978,"['좋아하는라면', '좋은', '가격', '잘', '샀어요']"
130994,"['지난번', '꺼', '랑', '맛', '달랐어요', 'ㅜㅜ']"
62202,"['차', '에어콘', '앞', '에는', '시원한데', '뒤', '에까지', '바람', '이안', '가서', '구매', '했어요', '아직', '충분히', '써', '보진못', '했지만', '좋을것', '같아요']"
112571,"['감성', '너무', '이쁩니다']"
56132,"['잘', '모르겠지만', '방안', '먼지', '많아서', '구매', '했는데', '그린', '불', '들어와서', '놀랐네요', '거', '작동', '이도', '건지', '궁금하네요', '공기', '청정', '효과', '있는지', '잘', '모르겠네요']"
196618,"['배송', '빨랐고', '상품', '품질', '좋아요']"
102878,"['똑', '딱이', '불편', '가격', 'ㅇ', '값', '하네요', 'ㅠ']"
147008,"['귀여운게', '와서', '좋은데', '메이드', '차이나', '잉크', '묻어나고', '너', '무크', '써있어서', '아쉽고', '검은색', '잉크', '같은게', '테두리', '묻어있네요']"
177552,"['생각', '만큼', '편하지', '않네요', '발아', '파서', '서', '잇는데', '너무', '힘들어요']"
124759,"['재구매', '약간', '매운', '맛', '이랑', '매운', '맛', '두', '가지', '시켰는데', '죄다', '매운', '맛', '으로', '배송', '됨', 'ㅡㅡ']"
56347,"['재구매', '수분', '감', '적당하고', '두께', '감', '좋고', '써', '본', '물티슈', '중', '최고', '예요']"
84837,"['검정', '색도', '같이', '샀는데', '둘', '싸', '이즈', '너무', '달라', '요', '검정', '고다', '허리', '길이', '훨씬', '크네요', 'ㅜㅜ', '그리고', '후크', '불안해요']"
184446,"['배송', '기간', '적당하고', '봉투', '재질', '맘', '들어요', '리뷰', '냄새', '난', '다는', '글', '있어서', '걱정', '했는데', '냄새', '안나', '좋아요', '잘사', '용할게요']"
126985,"['깔끔하고', '색상', '이뻐요']"
121420,"['아쉽습니다', '우선', '다른것', '합', '배송', '하려', '고객', '센터', '전화했더니', '받지', '않고', '그', '후', '엔', '쉬는시간', '이라', '안', '받고', '오후', '늦게', '받아', '배송', '되었다고', '하네요', '고객', '센터', '고객', '대응', '아쉬웠는데', '물건', '받았으나', '이건', '뭥미', '사이즈', '정도', '큽니다가', '위로', '대강', '잘라', '씁니다']"
178957,"['저', '한테', '는안', '맞나', '봐요', '사람', '마다', '다르니', '맞는', '분', '잘사', '용할수있을듯', '합니다']"
5746,"['배송', '무지무지', '빨랐고', '제품', '정확히', '왔습니다', '교체', '후', '작동', '까지', '잘하네요', '고맙습니다']"
167843,"['옷', '두', '개', '만', '걸어도', '흔들', '거리', '넘어져요']"
171035,"['윽', 'ㅜㅜ', '완전', '흘러내리고', '너무', '별로', '에요']"
177786,"['잘', '받았습니다', '좋은', '건더', '써', '봐야', '알것', '같음']"
8811,"['생각', '보다', '커서', '놀랬네요', '조금', '찍힌', '부분', '있지만', '만족합니다']"
131414,"['집게가하', '나빠져서', '왔어요']"
86712,"['남편', '거', '먹고', '저녁', '먹네요', 'ㅜ', '의지', '부족']"
138607,"['피부', '촉촉해서', '좋네요']"
87801,"['사지', '마세요', '그냥', '냄새', '나', '스폰지', '덩어리', '입니다', '반품', '하려다', '비닐', '둘둘', '말려', '온', '제품', '띁', '으', '려', '칼', '스폰지', '찢어져서', '그냥', '구매', '합니다']"
148657,"['재구매', '활용', '하기', '좋아요', '색도', '예쁘고', '마감', '깔끔합니다']"
166209,"['아이', '학교', '에서도', '제', '균', '티슈', '준비', '해오', '라고', '하더라구요', '휴대', '하기', '좋은', '사이즈', '로', '쟁', '여', '두었어요']"
30646,"['이상한소', '리가', '나', '는데요', '동영상', '봐주세요']"
5127,"['한동안', '못', '샀는데', '드디어', 'ㅠㅠ']"
135903,"['아이', '사탕', '처럼', '잘', '먹어요']"
170138,"['비닐', '속', '포장', '까지', '뜯어진', '채', '로', '왔네요', '포장', '배송', '신경', '써주세요']"
98150,"['일단', '피부', '닿는', '촉감', '너무', '좋네요', '사이즈', '인데', '들러붙지', '않고', '넘', '이뻐요']"
115551,"['미끄럼', '방지', '인지', '모르겠네요', '기존', '욕실', '화', '뵏', 'ㆍ', '더', '미끄러워요', '너무', '가벼워서', '좀', '이상해요']"
176688,"['색', '무척', '연해', '요', '반면', '반짝이는', '가득', '비추예요']"
6743,"['아직', '안', '먹어', '봐서', '맛', '모르겠어요']"
158,"['대형', '마트', '에서', '구매', '한다', '고발', '품', '팔다가', '네이버', '페이', '좋은', '상품', '있어', '서너', '무', '좋았어요', '잘쓸게요']"
91073,"['제', '생각', '부드러운면이아니고', '린넨', '마낭', '빳빳', '해', '요']"
46950,"['텐셀', '처음', '사봤는데', '부들부들하고', '정말', '좋아요', 'ㅎㅎㅎ']"
136276,"['오', '버핏', '어깨', '짱', '되', '보여요', 'ㅋ', '잠옷', '으로', '입을거예요', '얇아서', 'ㅋ']"
163100,"['편합니다', '디자인', '심플', '니', '이쁘네요']"
69357,"['양', '이적', '어', '요', '말다가', '만것', '같아요', '싼', '덴', '이유', '있는듯', '요']"
42190,"['비싸요', '예쁘지도', '않고', '실망']"
50871,"['배송', '거의', '달', '조금', '안', '걸렸네요']"
67688,"['배송비', '무료', '아니에요', '제주도', '거주', '중', '인데', '요', '무료', '배송', '줄알', '주문', '했어요', '그런데', '총', '배송비', '가원', '나왔습니다', '해외', '배송', '도아', '니', '배송비', '만원', '가까이', '라', '뇨']"
139442,"['팔이', '너무', '헐', '렁거려', '요']"
47041,"['향', '좋습니다', '아', 'ㅎㅎ']"
14847,"['처음', '사서', '써', '보는데', '효과', '있었으면', '좋겟네요', '비싼만큼', '값', '하기를']"
159412,"['싸구려', '값', '요', '핸드폰', '고정', '안되서', '자꾸', '팅겨져', '나와서', '꼽', '때', '엄청', '짜증나고', '머리', '끊을', '아무리', '조여', '틈', '많아서', '완전', '별로', '요']"
145129,"['쓰다', '보면', '약간', '쉰내', '비슷한', '냄새', '가납', '니']"
49519,"['진짜', '고급', '진맛']"
157319,"['잘도', '착했고잘', '교체', '했습니다']"
156968,"['그럭저럭', '좋아요', '쓸만']"
42387,"['배송', '상태', '엉망', '펌프', '깨지고다', '찌그러지고']"
24393,"['급하게', '써야', '해서', '어쩔', '수없이', '사용', '하는데', '한쪽', '구겨져서', '왔네요', '교환', '하고', '싶었는데', '당장', '필요한거라', '씁니다']"
165862,"['너무', '마음', '둡이다']"
102224,"['재구매', '잘', '썻습', '니', '좋네요']"
139702,"['너무', '좋습니다', '깔끔하네요']"
179703,"['재구매', '착용', '감', '편해서', '너무', '좋아요']"
91153,"['비추', '왜', '바람', '들어가는지다', '시정', '리해', '야할듯']"
188642,"['ㅇㅇㄹ', '호', 'ㅊ']"
41914,"['대실', '망미역', '씻어도', '씻', 'ㅇㅓ', '도뻘', '물이', '나오고', '깊은', '바다', '아닌', '완전', '앞바다', '미역', '인가', '봐요', '끓여도', '맛', '깊지', '않고', '싼값', '요']"
48731,"['엇', '생각', '했던것과', '디자인', '만', '일치', '하고', '나머지', '부분', '에서는', '내', '걸왜', '했네요', 'ㅠ']"
132375,"['사이즈', '하나', '누락', '됐어요']"
136767,"['피부', '붉게', '올라옵니다', '저', '테', '맞지', '않는것', '같네요']"
84508,"['그레이', '제품', '으로', '보내', '달라', '했는데', '화이트', '로', '왔습니다']"
158407,"['삼겹살', '향', '나', '지만', '기름', '너무', '많아', '요리', '할', '때', '불편했고', '느끼하고고기', '부분', '도적', '전별', '로', '였어요']"
84076,"['개', '샀는데', '개', '받았다고', '리뷰', '썼더니', '전화', '서', '개', '받으신', '거', '라면', '서', '가르침', '받았네요', '사과', '한마디', '없', '이요', 'ㅋ', '세', '어보', '니', '개였는데', '개든', '개든', '기분', '드러운거는', '마찬가지', '랍', '니', '판매', '자', '님', '봉투', '버리고', '돈', '버렸네요']"
168192,"['달동', '안내', '내', '배틀', '그', '라운드', '만', '했네요', '중독', '성', '있는', '게임', '입니다']"
162874,"['시', '향안', '하고', '소문', '만', '듣고', '샀더니', '생각', '했던것과', '달라', '요', 'ㅜㅜ', '배송', '정말', '빨랐어요']"
115918,"['귀엽고', '이뻐요', '잘', '신을께요']"
71647,"['햇수', '미감', '자', '맞아요', '아니', '일정', '지나', '니까', '바로', '싹', '나', '버리', '고속', '것', '같더라구요', '햇', '감자', '라고', '해서', '다른', '곳', '보다', '더비', '싸게주고', '샀는데', '진짜', '실망했네요', '싹', '다나', '버려서', '빠르게', '해', '치웠네요', '다신', '재구매', '여기', '선안', '할것', '같네요']"
100431,"['디자인', '예쁘', '고발', '색도', '좋아요']"
91895,"['마무리', '깔끔하게되', '않았어요', '보내실', '때', '확인', '좀', '해주시', 'ㅡㅡ', '받고도', '기분', '별로', '였어요']"
195941,"['문자', '빠르게', '와요', '아직', '사용', '전입', '니']"
29231,"['생각', '보다', '너무', '커요', '바지', '걸이', '에바', '지는', '잘', '흘러내리고요', 'ㅠㅠ']"
22829,"['지저분한', '장난감', '싹', '정리', '되서', '넘나', '좋은', '것']"
157823,"['상품', '잘', '받았고', '튼튼해요', '잘사', '용하고있습니다']"
76885,"['오프라인', '보다', '훨', '저렴합니다']"
69018,"['얼굴', '에도', '잘', '안', '맞고', '계속', '들뜹니다', '얼굴', '주름', '만', '더', '생길듯']"
175030,"['내', '가산', '물건', '정확히', '보내주는것', '온라인쇼핑', '기본', '이라고', '생각', '합니다', '신라면', '시켰지만', '열라면', '보', '내줬고', '반품', '귀찮아', '그냥', '먹습니다']"
25670,"['가격', '대비', '상품', '좋고', '선물', '하기에도', '좋아요', '계속', '좋은', '가격', '판매', '해주세요']"
97263,"['열무김치', '먹을', '만해', '서', '포기', '배추김치', '주문', '했는데', '수요일', '배송', '시작', '게토', '요일', '오후', '배송', '되서', '아이스박스', '부풀어', '터져서', '배송', '됬어요', '먹을수', '없게안전', '익어서', '배송', '다신주', '문안', '하려고요']"
171747,"['괜히', '샀네요', '효과', '없음']"
15817,"['너무', '짜고', '조미료', '맛', '이남']"
140282,"['휴', '진짜', '실망', '이에요', '어제', '밤', '만해', '모기', '다섯', '군데', '나', '물렸어요', '며칠', '째', '밤', '마다', '사용', '데모', '기사', '체', '마리', '도안', '나오는군요']"
100071,"['기존', '방묘', '문을냥', '뛰어넘어서', '추가', '구매', '했어요', '상품', '만족하는데', '설치', '해도', '냥', '뛰어넘네요', 'ㅜ', '스파이더', '냥', '집사', '분들', '사진', '처럼', '냥', '앞발', '로', '올라갈수있는', '부분', '무언가', '덧', '대', '놓으면', '못', '올라가니', '참고하셔요']"
78929,"['더블', '하트', '젖꼭지', '가호', '환', '되', '서너', '무', '좋아요', '젖병', '슬림', '해서', '이쁘구요', 'ㅋ']"
21703,"['저렴한', '가격', '빠른', '배송', '생각', '보다', '크지', '않다', '경보', '음', '만족스러', '움', '개', '차가있겠지만', '의도', '적', '으로', '강하게', '당겼을', '때', '만', '빠졌으면', '하는데', '연결', '부결', '속력', '엄청', '강하진', '않습니다']"
24764,"['흡착', '판이하나도', '흡착', '이안', '돼요', '설명', '서', '에나', '온대', '로', '했는데도', '붙이고나면다음', '날', '떨어지', '기를', '반복', '해서', '결', '국초', '강력', '테이프', '붙여서', '사용', '하고', '있습니다']"
70671,"['아직', '좋은지', '모르겠어요']"
163426,"['항상', '잘', '먹고있습니다']"
27539,"['생각', '보다', '조악하고', '퀄리티', '별로', '에요', '선물', '할', '퀄리티', '아니네요']"
116816,"['도마도', '자주', '바꾸는게', '편한듯', '해', '요', 'ㅎ']"
5211,"['아기', '잘', '먹어요', '아기', '잘', '먹', '고물', '이든', '분유', '든', '잘', '녹네요', '재구매', '할께요', '잘', '먹일께요', 'ㅎㅎ', '배송', '빨라요']"
56560,"['한개', '주', '문', '죄송스러울만큼', '포장', '꼼꼼하게잘', '챙겨주셔서', '감사합니다', '물론', '귀걸이', '엄청', '엄청', '맘', '들어요']"
116050,"['흡착', '력', '좋고', '맘', '드는데', '불만', '점', '뒤', '종이', '떼는데', '흡착', '필수', '적', '비닐', '까지', '같이', '떼기', '쉽도록', '되어있어', '처음', '쓰는', '사람', '같이', '떼', '버리고', '흡착', '안되', '당황', '할수있어요', '저', '그래서', '하나', '버림']"
95268,"['저렴하고', '다양한', '종류']"
46387,"['아니', '정품', '아닌가요', '엉', '댕', '가다', '보여이고', '착용', '감', '이별', '로예', '요', '집', '에서', '잠옷', '으로라도', '입으려', '했는데', '아빠', '가입', '말', '래', '요', 'ㅠㅠ']"
151545,"['누가', '쓰던거', '가져다준건', '아니죠', '아무리', '그래도', '포장', '상태', '영', '가격', '저렴하고', '배송', '빠르지만', '별로', '요', 'ㅜㅜ', '포장', '신경', '써주세요', '앞', '으로']"
57479,"['달이', '넘도록', '냄새', '가안', '빠져요']"
175559,"['소음', '거', '의안', '납니다', '배송', '빠르구요', '만족합니다']"
147446,"['기', '대', '이상', '입니다', '굿', '요']"
56705,"['재구매', '세탁', '하고', '뜯어져서', '재구매', '했어요']"
124289,"['완젅', '엉망', '벽', '구멍', '만', '내고', '결국', '못', '씀', '전문가', '아님', '절', '대못', '담']"
129405,"['재구매', '항상', '싸게', '잘쓰고있습니다', '고맙습니다']"
117042,"['평', '짜리', '가게', '모기', '너무', '많아서', '후기', '보고', '질렀는데', '이틀', '동안', '켜놓고', '퇴근', '했는데', '놀랬어요', '마리', '도안', '잡혀있어서']"
35686,"['어리', '굴젓', '왜', '이렇게', '짜고', '신맛', '나나', '요', '도저히', '못', '먹겠어요']"
147242,"['골드', '가까져', '왔어요']"
39580,"['배송', '꼼꼼하게', '해주시', '그릇', '예뻐서', '좋아요']"
5401,"['선물', '로', '만들었는데', '친구', '너무', '좋아하네요']"
7949,"['맛있는', '망고', '두유', '너무', '너무', '빨리', '보내주셨어요', '감사해요', '우리', '딸', '너무', '좋아해요']"
54844,"['하이라이트', '올렸더니', '밑', '판이', '볼록해지네요']"
188399,"['배송', '빠르고진하고', '맛있어요']"
161138,"['넘', '좋아요', '다음', '에도', '재구매', '하려', '구해', '요']"
106151,"['생각', '보다', '얇아요']"
162964,"['항상', '쓰던', '유부', '표지', '라', '주문', '했는데', '온유', '부는', '사진', '과다르', '요']"
23254,"['추천', '안해', '요', '생각', '보다', '향', '도강', '하고', '보습', '별로', '것', '같아요', '그러니깐', '생각', '잘', '해보시고', '구매', '하시길', '그냥', '싼', '맛', '사는것도', '나쁘지', '않음']"
23279,"['ㅠㅠ', '문', '인식', '넘', '안되서', '매번', '오', '타나', '요', '뜯어', '버리고싶지만', '새로', '살때', '까지', '씁니다', 'ㅠㅠ']"
46882,"['딸아이', '해보고싶데서', '주문', '했어요', '작아서', '귀여워요', '아직', '다루는게', '어설픈데', '좀', '보면', '기술', '생기', '겠죠', 'ㅎ']"
178433,"['진짜', '예쁘네요', '잘쓸게요']"
115798,"['우당탕', '당', '쓸만', '합니다', '뇨']"
34051,"['휴지', '심', '빼고', '써야', '해서', '불편해요']"
162402,"['핸들', '이랑', '같이', '구매', '해서', '쓰니', '훨씬', '편하네요']"
140404,"['나이스', '스', '만조']"
169576,"['발목', '부분', '꽉', '잡아줘아주', '만족합니다']"
167528,"['빨강', '색색이', '이뻐서', '삼']"
147107,"['받아서', '괜찮은지', '신어', '보는데이래', '구멍', '이나', '있네요']"
72968,"['오', '자마자', '커버', '빨아서', '끼우는데지퍼', '떨어져', '나가서', '수선하는데', '만만원', '들었네요', '쿠션', '감도', '쏘', '쏘']"
84008,"['재구매', '항상', '시키는거잘', '받앗어여']"
120612,"['길이', '적당하고', '까페', '좋습니다']"
199788,"['테이프', '많이', '늘리니', '끊어질것', '같고', '조금', '늘리니', '길이', '짧아요']"
15791,"['사이즈', '너무', '작아요']"
140865,"['다신', '인터넷', '으로', '모자', '사면', '일', '될듯', '요']"
36002,"['늘', '먹이는', '사료', '애', '잘', '먹어요']"
19309,"['실사', '용시', '좋았고하자', '없고', '아직', '이틀', '이라서', '더', '서', '용해', '봐야', '알겠', '슷데', '아', '직', '까지', 'ㄴ', '좋았어요', '적', '근', '구매', '추천', '입니다']"
4078,"['햇', '단', '밤', '시켰는데', '아무래도', '묵은단', '밤', '듯해', '요', '색깔', '노란', '빛', '없고', '밤', '마른', '느낌', '있네요', '썩은것', '들도', '있고', '그래서', '다른', '곳', '에서', '햇밤', '주문', '했습니다', '여기', '껀햇밤', '아닌듯']"
131762,"['실망했습니다', '청송', '뜨', '개실', '믿고', '주문', '하는데', '이번', '꺼', '별', '루', '요', '실', '이음', '새가한', '타래', '두세', '개', '씩', '나오구요', '실', '넘잘', '끊어지고', '반짝이도', '많이', '떨어집니다', '배송', '빠릅니다']"
129170,"['주로', '대', '어르신', '가끔', '사용', '하셨는데', '사용', '한지', '달도', '안되어서', '발', '고정', '플라스틱', '밴드', '사용', '중', '끊어졌습니다', '수리', '비용', '이만원', '이라고', '하는데', '배', '보다', '배꼽', '큰', '격', '이라', '부모님', '께서', '그냥', '폐기', '처분', '하셨습니다']"
195854,"['딱이네요', '진작', '살걸', '후회되요', '아이', '너무', '뛰어서', '깔았는데', '푹신해서', '걸어다니', '기도', '좋', '고발', '소리', '안나', '서', '넘', '좋아요']"
45047,"['두', '개', '짜', '린줄알', '주문', '했는데', '케이스', '엿', '요', 'ㅡㅡ']"
88034,"['박일', '여행', '인터넷', '너무', '잘', '터져서', '편하게', '다녀왔어요']"
134709,"['배송', '빠르고', '물건', '확실하고', '강', '추합니다']"
174538,"['너무', '끈', '적거려', '서손', '에다', '묻어요', '괜히', '많이', '구매', '했네요', 'ㅠ']"
109005,"['사진', '보다', '실물', '이별', '로', '였습니다']"
85394,"['추천', '하지', '않습니다', '돈', '주', '고사기', '엔', '좀', '아까워요', '고정력', '별로', '고저', '거', '끼우고나면', '서랍', '잘안', '닫히고', '미관', '상', '으로도', '좋지', '않고', 'ㅎㅎ', '그냥', '수건', '고리', '붙여서', '걸어', '두는게', '훨씬', '나을것', '같아요']"
35275,"['인데', 'ㅜㅜ', '하이', '웨스트', '전혀', '아니고', '밑위', '좀', '애매하네요', '그리고', '밑', '단부', '분', '저', '한텐', '좀', '짧게', '느껴져요']"
150721,"['아들', '너무', '좋아하네요', '아이', '요즘', '먹일게', '없어', '서간', '식용', '으로', '샀어요', '늘', '구매', '거', '라', '믿고', '주문', '합니다', 'ㅎ', '다양하게', '들어있고', '저렴해서', '만족해요', '빠른', '배송', '좋아요']"
7242,"['적당한', '온', '도로', '물', '끓여', '야해서', '구입', '했는데', '확실히', '뚜껑', '있는게', '관리', '기도', '편하고', '여러', '모로', '좋네요']"
25066,"['좀', '작네요', 'ㅠ', '컵', '작고', 'ㅠ']"
64974,"['잘쓰고있어요', '다음', '에도', '구매', '할게요']"
134412,"['예쁘고', '만족해요']"
153826,"['배송', '엄청', '느리고', '배송', '시간', '당일', '전화해서', '자기', '마음대로', '함', '따졌더니', '자기', '회사', '방침', '이라', '며밤시', '경비실', '에두', '감안', '받겠다고', '했더니', '택배', '비는내라', '고함', '어이없음']"
119912,"['우엉', '잘우려', '서나', '요', '크기', '적당합니다']"
27616,"['늘', '쓰는거', '에여', '지금', '통째', '쓰고있어요']"
70320,"['튼튼하요', '좋습니다', '여자', '분들', '조립', '좀', '힘듬']"
